ID	Gene Name	Species
BMI1	BMI1 proto-oncogene, polycomb ring finger(BMI1)	Homo sapiens	
BANP	BTG3 associated nuclear protein(BANP)	Homo sapiens	
CTBP2	C-terminal binding protein 2(CTBP2)	Homo sapiens	
CBFA2T2	CBFA2/RUNX1 partner transcriptional co-repressor 2(CBFA2T2)	Homo sapiens	
CIPC	CLOCK interacting pacemaker(CIPC)	Homo sapiens	
CREBBP	CREB binding protein(CREBBP)	Homo sapiens	
EP300	E1A binding protein p300(EP300)	Homo sapiens	
EBF4	EBF family member 4(EBF4)	Homo sapiens	
ETV4	ETS variant transcription factor 4(ETV4)	Homo sapiens	
FEZF1	FEZ family zinc finger 1(FEZF1)	Homo sapiens	
GPS2	G protein pathway suppressor 2(GPS2)	Homo sapiens	
GABPB2	GA binding protein transcription factor subunit beta 2(GABPB2)	Homo sapiens	
HBP1	HMG-box transcription factor 1(HBP1)	Homo sapiens	
IKZF2	IKAROS family zinc finger 2(IKZF2)	Homo sapiens	
JDP2	Jun dimerization protein 2(JDP2)	Homo sapiens	
KANK2	KN motif and ankyrin repeat domains 2(KANK2)	Homo sapiens	
KLF15	Kruppel like factor 15(KLF15)	Homo sapiens	
LIMD1	LIM domain containing 1(LIMD1)	Homo sapiens	
LHX4	LIM homeobox 4(LHX4)	Homo sapiens	
MAF1	MAF1 homolog, negative regulator of RNA polymerase III(MAF1)	Homo sapiens	
MXD4	MAX dimerization protein 4(MXD4)	Homo sapiens	
MGA	MAX dimerization protein MGA(MGA)	Homo sapiens	
MXI1	MAX interactor 1, dimerization protein(MXI1)	Homo sapiens	
MAX	MYC associated factor X(MAX)	Homo sapiens	
NACC2	NACC family member 2(NACC2)	Homo sapiens	
PKNOX1	PBX/knotted 1 homeobox 1(PKNOX1)	Homo sapiens	
PHF19	PHD finger protein 19(PHF19)	Homo sapiens	
PHF21A	PHD finger protein 21A(PHF21A)	Homo sapiens	
POU5F1P4	POU class 5 homeobox 1 pseudogene 4(POU5F1P4)	Homo sapiens	
PWWP2A	PWWP domain containing 2A(PWWP2A)	Homo sapiens	
RBL1	RB transcriptional corepressor like 1(RBL1)	Homo sapiens	
RELA	RELA proto-oncogene, NF-kB subunit(RELA)	Homo sapiens	
RBM14	RNA binding motif protein 14(RBM14)	Homo sapiens	
SGF29	SAGA complex associated factor 29(SGF29)	Homo sapiens	
SAP30L	SAP30 like(SAP30L)	Homo sapiens	
SMAD4	SMAD family member 4(SMAD4)	Homo sapiens	
SAP25	Sin3A associated protein 25(SAP25)	Homo sapiens	
TBX6	T-box transcription factor 6(TBX6)	Homo sapiens	
TAF3	TATA-box binding protein associated factor 3(TAF3)	Homo sapiens	
TAF8	TATA-box binding protein associated factor 8(TAF8)	Homo sapiens	
ZXDC	ZXD family zinc finger C(ZXDC)	Homo sapiens	
ASCC1	activating signal cointegrator 1 complex subunit 1(ASCC1)	Homo sapiens	
ATF4	activating transcription factor 4(ATF4)	Homo sapiens	
AJUBA	ajuba LIM protein(AJUBA)	Homo sapiens	
ATOH8	atonal bHLH transcription factor 8(ATOH8)	Homo sapiens	
CALCOCO1	calcium binding and coiled-coil domain 1(CALCOCO1)	Homo sapiens	
CC2D1B	coiled-coil and C2 domain containing 1B(CC2D1B)	Homo sapiens	
ERN2	endoplasmic reticulum to nucleus signaling 2(ERN2)	Homo sapiens	
EEF1D	eukaryotic translation elongation factor 1 delta(EEF1D)	Homo sapiens	
FOXD2	forkhead box D2(FOXD2)	Homo sapiens	
FOXJ1	forkhead box J1(FOXJ1)	Homo sapiens	
FOXN3	forkhead box N3(FOXN3)	Homo sapiens	
